date,holiday,event,value
2018-06-21,0,0,2662.0
2018-06-22,0,0,2503.0
2018-06-23,1,0,1132.0
2018-06-24,1,0,1140.0
2018-06-25,0,0,
2018-06-26,0,0,2902.0
2018-06-27,0,0,2875.0
2018-06-28,0,0,2559.0
2018-06-29,0,0,2708.0
2018-06-30,1,0,1027.0
2018-07-01,1,0,
2018-07-02,0,0,3013.0
2018-07-03,0,0,2582.0
2018-07-04,0,0,2796.0
2018-07-05,0,0,2474.0
2018-07-06,0,0,8658.0
2018-07-07,1,0,1242.0
2018-07-08,1,0,1183.0
2018-07-09,0,0,3031.0
2018-07-10,0,1,3480.0
2018-07-11,0,1,3154.0
2018-07-12,0,0,2856.0
2018-07-13,0,0,3001.0
2018-07-14,1,0,1067.0
2018-07-15,1,0,1075.0
2018-07-16,0,0,3691.0
2018-07-17,0,0,3037.0
2018-07-18,0,0,2664.0
2018-07-19,0,0,3036.0
2018-07-20,0,0,2609.0
2018-07-21,1,0,1271.0
2018-07-22,1,0,1089.0
2018-07-23,0,0,2698.0
2018-07-24,0,0,3023.0
2018-07-25,0,0,3074.0
2018-07-26,0,0,2744.0
2018-07-27,0,0,2523.0
2018-07-28,1,0,1302.0
2018-07-29,1,0,1298.0
2018-07-30,0,0,2726.0
2018-07-31,0,0,2798.0
2018-08-01,0,0,2727.0
2018-08-02,0,0,2580.0
2018-08-03,0,0,3006.0
2018-08-04,1,0,1067.0
2018-08-05,1,0,1022.0
2018-08-06,0,0,3243.0
2018-08-07,0,0,2900.0
2018-08-08,0,0,2823.0
2018-08-09,0,0,2792.0
2018-08-10,0,1,3350.0
2018-08-11,1,0,1057.0
2018-08-12,1,0,1064.0
2018-08-13,0,1,3486.0
2018-08-14,0,0,2702.0
2018-08-15,1,0,1032.0
2018-08-16,0,0,2935.0
2018-08-17,0,0,2908.0
2018-08-18,1,0,1132.0
2018-08-19,1,0,1206.0
2018-08-20,0,0,3139.0
2018-08-21,0,0,3095.0
2018-08-22,0,0,2767.0
2018-08-23,0,0,2820.0
2018-08-24,0,0,
2018-08-25,1,0,1256.0
2018-08-26,1,0,1171.0
2018-08-27,0,0,2916.0
2018-08-28,0,0,2848.0
2018-08-29,0,0,3108.0
2018-08-30,0,0,2983.0
2018-08-31,0,0,3105.0
2018-09-01,1,0,1276.0
2018-09-02,1,0,1193.0
2018-09-03,0,0,3343.0
2018-09-04,0,0,3131.0
2018-09-05,0,0,2902.0
2018-09-06,0,0,2897.0
2018-09-07,0,0,2839.0
2018-09-08,1,0,1132.0
2018-09-09,1,0,1104.0
2018-09-10,0,1,3906.0
2018-09-11,0,1,3440.0
2018-09-12,0,0,3029.0
2018-09-13,0,0,2559.0
2018-09-14,0,0,2757.0
2018-09-15,1,0,3943.0
2018-09-16,1,0,1122.0
2018-09-17,0,0,2902.0
2018-09-18,0,0,3025.0
2018-09-19,0,0,2682.0
2018-09-20,0,0,2644.0
2018-09-21,0,0,3203.0
2018-09-22,1,0,1106.0
2018-09-23,1,0,1169.0
2018-09-24,1,0,1244.0
2018-09-25,1,0,1290.0
2018-09-26,1,0,1353.0
2018-09-27,0,0,3493.0
2018-09-28,0,0,2889.0
2018-09-29,1,0,1336.0
2018-09-30,1,0,1295.0
2018-10-01,0,0,3449.0
2018-10-02,0,0,3093.0
2018-10-03,1,0,1152.0
2018-10-04,0,0,3199.0
2018-10-05,0,0,2576.0
2018-10-06,1,0,1082.0
2018-10-07,1,0,1095.0
2018-10-08,0,0,3483.0
2018-10-09,1,0,1284.0
2018-10-10,0,1,3816.0
2018-10-11,0,1,3830.0
2018-10-12,0,0,3137.0
2018-10-13,1,0,1367.0
2018-10-14,1,0,1063.0
2018-10-15,0,0,3105.0
2018-10-16,0,0,2904.0
2018-10-17,0,0,2670.0
2018-10-18,0,0,3088.0
2018-10-19,0,0,2647.0
2018-10-20,1,0,1218.0
2018-10-21,1,0,1300.0
2018-10-22,0,0,3227.0
2018-10-23,0,0,3100.0
2018-10-24,0,0,3215.0
2018-10-25,0,0,3152.0
2018-10-26,0,0,
2018-10-27,1,0,1261.0
2018-10-28,1,0,1293.0
2018-10-29,0,0,2870.0
2018-10-30,0,0,2700.0
2018-10-31,0,0,2847.0
2018-11-01,0,0,2761.0
2018-11-02,0,0,2643.0
2018-11-03,1,0,1146.0
2018-11-04,1,0,3200.0
2018-11-05,0,0,3281.0
2018-11-06,0,0,2781.0
2018-11-07,0,0,
2018-11-08,0,0,2828.0
2018-11-09,0,0,3050.0
2018-11-10,1,0,1216.0
2018-11-11,1,0,1379.0
2018-11-12,0,1,3922.0
2018-11-13,0,1,3877.0
2018-11-14,0,0,2808.0
2018-11-15,0,0,2819.0
2018-11-16,0,0,3162.0
2018-11-17,1,0,1302.0
2018-11-18,1,0,1205.0
2018-11-19,0,0,3307.0
2018-11-20,0,0,3136.0
2018-11-21,0,0,2778.0
2018-11-22,0,0,3135.0
2018-11-23,0,0,3049.0
2018-11-24,1,0,1198.0
2018-11-25,1,0,1223.0
2018-11-26,0,0,2951.0
2018-11-27,0,0,2742.0
2018-11-28,0,0,3188.0
2018-11-29,0,0,3126.0
2018-11-30,0,0,2636.0
2018-12-01,1,0,1341.0
2018-12-02,1,0,1240.0
2018-12-03,0,0,3662.0
2018-12-04,0,0,3233.0
2018-12-05,0,0,2828.0
2018-12-06,0,0,3012.0
2018-12-07,0,0,2838.0
2018-12-08,1,0,1237.0
2018-12-09,1,0,1323.0
2018-12-10,0,1,3926.0
2018-12-11,0,1,3475.0
2018-12-12,0,0,3195.0
2018-12-13,0,0,2813.0
2018-12-14,0,0,2957.0
2018-12-15,1,0,1268.0
2018-12-16,1,0,1137.0
2018-12-17,0,0,3433.0
2018-12-18,0,0,3358.0
2018-12-19,0,0,2873.0
2018-12-20,0,0,3302.0
2018-12-21,0,0,3336.0
2018-12-22,1,0,1149.0
2018-12-23,1,0,1285.0
2018-12-24,0,0,3825.0
2018-12-25,1,0,1195.0
2018-12-26,0,0,3151.0
2018-12-27,0,0,3188.0
2018-12-28,0,0,3000.0
2018-12-29,1,0,1244.0
2018-12-30,1,0,1341.0
2018-12-31,0,0,3303.0
2019-01-01,1,0,1411.0
2019-01-02,0,0,3639.0
2019-01-03,0,0,3112.0
2019-01-04,0,0,2970.0
2019-01-05,1,0,1396.0
2019-01-06,1,0,1318.0
2019-01-07,0,0,3698.0
2019-01-08,0,0,3291.0
2019-01-09,0,0,3237.0
2019-01-10,0,1,3733.0
2019-01-11,0,1,4168.0
2019-01-12,1,0,1448.0
2019-01-13,1,0,1260.0
2019-01-14,0,0,3757.0
2019-01-15,0,0,3034.0
2019-01-16,0,0,3107.0
2019-01-17,0,0,3212.0
2019-01-18,0,0,3056.0
2019-01-19,1,0,1426.0
2019-01-20,1,0,1175.0
2019-01-21,0,0,3658.0
2019-01-22,0,0,3397.0
2019-01-23,0,0,3484.0
2019-01-24,0,0,3227.0
2019-01-25,0,0,3449.0
2019-01-26,1,0,1425.0
2019-01-27,1,0,1403.0
2019-01-28,0,0,3655.0
2019-01-29,0,0,3151.0
2019-01-30,0,0,3038.0
2019-01-31,0,0,3061.0
2019-02-01,0,0,3479.0
2019-02-02,1,0,1349.0
2019-02-03,1,0,2970.0
2019-02-04,1,0,1374.0
2019-02-05,1,0,1444.0
2019-02-06,1,0,1326.0
2019-02-07,0,0,4075.0
2019-02-08,0,0,3402.0
2019-02-09,1,0,1444.0
2019-02-10,1,0,1315.0
2019-02-11,0,1,4254.0
2019-02-12,0,1,3779.0
2019-02-13,0,0,3129.0
2019-02-14,0,0,3536.0
2019-02-15,0,0,3463.0
2019-02-16,1,0,1336.0
2019-02-17,1,0,1278.0
2019-02-18,0,0,3623.0
2019-02-19,0,0,3344.0
2019-02-20,0,0,3229.0
2019-02-21,0,0,3540.0
2019-02-22,0,0,3420.0
2019-02-23,1,0,1438.0
2019-02-24,1,0,1321.0
2019-02-25,0,0,3819.0
2019-02-26,0,0,3525.0
2019-02-27,0,0,3097.0
2019-02-28,0,0,3083.0
2019-03-01,1,0,1733.0
2019-03-02,1,0,1511.0
2019-03-03,1,0,1610.0
2019-03-04,0,0,3537.0
2019-03-05,0,0,3378.0
2019-03-06,0,0,3186.0
2019-03-07,0,0,3512.0
2019-03-08,0,0,2981.0
2019-03-09,1,0,1592.0
2019-03-10,1,0,1479.0
2019-03-11,0,1,4021.0
2019-03-12,0,1,3845.0
2019-03-13,0,0,3354.0
2019-03-14,0,0,2943.0
2019-03-15,0,0,3032.0
2019-03-16,1,0,1661.0
2019-03-17,1,0,1534.0
2019-03-18,0,0,3581.0
2019-03-19,0,0,3353.0
2019-03-20,0,0,3160.0
2019-03-21,0,0,3179.0
2019-03-22,0,0,3480.0
2019-03-23,1,0,1600.0
2019-03-24,1,0,1399.0
2019-03-25,0,0,3784.0
2019-03-26,0,0,3689.0
2019-03-27,0,0,3391.0
2019-03-28,0,0,3222.0
2019-03-29,0,0,3036.0
2019-03-30,1,0,1641.0
2019-03-31,1,0,1473.0
2019-04-01,0,0,3361.0
2019-04-02,0,0,3236.0
2019-04-03,0,0,3421.0
2019-04-04,0,0,3233.0
2019-04-05,0,0,3065.0
2019-04-06,1,0,1664.0
2019-04-07,1,0,1616.0
2019-04-08,0,0,3239.0
2019-04-09,0,0,3379.0
2019-04-10,0,1,3907.0
2019-04-11,0,1,3986.0
2019-04-12,0,0,3479.0
2019-04-13,1,0,1746.0
2019-04-14,1,0,1505.0
2019-04-15,0,0,3709.0
2019-04-16,0,0,3213.0
2019-04-17,0,0,3318.0
2019-04-18,0,0,3374.0
2019-04-19,0,0,2973.0
2019-04-20,1,0,1497.0
2019-04-21,1,0,1566.0
2019-04-22,0,0,3290.0
2019-04-23,0,0,3126.0
2019-04-24,0,0,3490.0
2019-04-25,0,0,3128.0
2019-04-26,0,0,3176.0
2019-04-27,1,0,1624.0
2019-04-28,1,0,1467.0
2019-04-29,0,0,3497.0
2019-04-30,0,0,3147.0
2019-05-01,1,0,2023.0
2019-05-02,0,0,3150.0
2019-05-03,0,0,3135.0
2019-05-04,1,0,1586.0
2019-05-05,1,0,1534.0
2019-05-06,1,0,1531.0
2019-05-07,0,0,3596.0
2019-05-08,0,0,3684.0
2019-05-09,0,0,3294.0
2019-05-10,0,1,4082.0
2019-05-11,1,0,1646.0
2019-05-12,1,0,1624.0
2019-05-13,0,1,4018.0
2019-05-14,0,0,3595.0
2019-05-15,0,0,3543.0
2019-05-16,0,0,3267.0
2019-05-17,0,0,3178.0
2019-05-18,1,0,1665.0
2019-05-19,1,0,1510.0
2019-05-20,0,0,3272.0
2019-05-21,0,0,3323.0
2019-05-22,0,0,3566.0
2019-05-23,0,0,3119.0
2019-05-24,0,0,3507.0
2019-05-25,1,0,1824.0
2019-05-26,1,0,1438.0
2019-05-27,0,0,3614.0
2019-05-28,0,0,3033.0
2019-05-29,0,0,3593.0
2019-05-30,0,0,3189.0
2019-05-31,0,0,3069.0
2019-06-01,1,0,1756.0
2019-06-02,1,0,1712.0
2019-06-03,0,0,3205.0
2019-06-04,0,0,3065.0
2019-06-05,0,0,3219.0
2019-06-06,1,0,1653.0
2019-06-07,0,0,3426.0
2019-06-08,1,0,1724.0
2019-06-09,1,0,1687.0
2019-06-10,0,1,4073.0
2019-06-11,0,1,3857.0
2019-06-12,0,0,3059.0
2019-06-13,0,0,3272.0
2019-06-14,0,0,3396.0
2019-06-15,1,0,1596.0
2019-06-16,1,0,1554.0
2019-06-17,0,0,3298.0
2019-06-18,0,0,3081.0
2019-06-19,0,0,3060.0
2019-06-20,0,0,3026.0
2019-06-21,0,0,3131.0
2019-06-22,1,0,4484.0
2019-06-23,1,0,1678.0
2019-06-24,0,0,3486.0
2019-06-25,0,0,3305.0
2019-06-26,0,0,3308.0
2019-06-27,0,0,3326.0
2019-06-28,0,0,3516.0
2019-06-29,1,0,1663.0
2019-06-30,1,0,1652.0
2019-07-01,0,0,3745.0
2019-07-02,0,0,3508.0
2019-07-03,0,0,2967.0
2019-07-04,0,0,3485.0
2019-07-05,0,0,3238.0
2019-07-06,1,0,1549.0
2019-07-07,1,0,1512.0
2019-07-08,0,0,3747.0
2019-07-09,0,0,3186.0
2019-07-10,0,1,4103.0
2019-07-11,0,1,4215.0
2019-07-12,0,0,3226.0
2019-07-13,1,0,1613.0
2019-07-14,1,0,1672.0
2019-07-15,0,0,3972.0
2019-07-16,0,0,3676.0
2019-07-17,0,0,3788.0
2019-07-18,0,0,3801.0
2019-07-19,0,0,3907.0
2019-07-20,1,0,1781.0
2019-07-21,1,0,1565.0
2019-07-22,0,0,5125.0
2019-07-23,0,0,3532.0
2019-07-24,0,0,4401.0
2019-07-25,0,0,3445.0
2019-07-26,0,0,3162.0
2019-07-27,1,0,3356.0
2019-07-28,1,0,1694.0
2019-07-29,0,0,3233.0
2019-07-30,0,0,3310.0
2019-07-31,0,0,3610.0
2019-08-01,0,0,3600.0
2019-08-02,0,0,3327.0
2019-08-03,1,0,1614.0
2019-08-04,1,0,1635.0
2019-08-05,0,0,3223.0
2019-08-06,0,0,3229.0
2019-08-07,0,0,3574.0
2019-08-08,0,0,3416.0
2019-08-09,0,0,3358.0
2019-08-10,1,0,1871.0
2019-08-11,1,0,1566.0
2019-08-12,0,1,4241.0
2019-08-13,0,1,4041.0
2019-08-14,0,0,3262.0
2019-08-15,1,0,1863.0
2019-08-16,0,0,3339.0
2019-08-17,1,0,1614.0
2019-08-18,1,0,1705.0
2019-08-19,0,0,3653.0
2019-08-20,0,0,3716.0
2019-08-21,0,0,3342.0
2019-08-22,0,0,3244.0
2019-08-23,0,0,3551.0
2019-08-24,1,0,1678.0
2019-08-25,1,0,1668.0
2019-08-26,0,0,3891.0
2019-08-27,0,0,3690.0
2019-08-28,0,0,3424.0
2019-08-29,0,0,3504.0
2019-08-30,0,0,3296.0
2019-08-31,1,0,1702.0
2019-09-01,1,0,1779.0
2019-09-02,0,0,3503.0
2019-09-03,0,0,3315.0
2019-09-04,0,0,3266.0
2019-09-05,0,0,3118.0
2019-09-06,0,0,3352.0
2019-09-07,1,0,1829.0
2019-09-08,1,0,1699.0
2019-09-09,0,0,3707.0
2019-09-10,0,1,3833.0
2019-09-11,0,1,4282.0
2019-09-12,1,0,1741.0
2019-09-13,1,0,1551.0
2019-09-14,1,0,1667.0
2019-09-15,1,0,1522.0
2019-09-16,0,0,3779.0
2019-09-17,0,0,3774.0
2019-09-18,0,0,3270.0
2019-09-19,0,0,3575.0
2019-09-20,0,0,3735.0
2019-09-21,1,0,1873.0
2019-09-22,1,0,1755.0
2019-09-23,0,0,3367.0
2019-09-24,0,0,3651.0
2019-09-25,0,0,3355.0
2019-09-26,0,0,3641.0
2019-09-27,0,0,3588.0
2019-09-28,1,0,1647.0
2019-09-29,1,0,3670.0
2019-09-30,0,0,3740.0
2019-10-01,0,0,3453.0
2019-10-02,0,0,3445.0
2019-10-03,1,0,1726.0
2019-10-04,0,0,3437.0
2019-10-05,1,0,1902.0
2019-10-06,1,0,1821.0
2019-10-07,0,0,3371.0
2019-10-08,0,0,3698.0
2019-10-09,1,0,1817.0
2019-10-10,0,1,3963.0
2019-10-11,0,1,4108.0
2019-10-12,1,0,1967.0
2019-10-13,1,0,1635.0
2019-10-14,0,0,3689.0
2019-10-15,0,0,3627.0
2019-10-16,0,0,3807.0
2019-10-17,0,0,3613.0
2019-10-18,0,0,3579.0
2019-10-19,1,0,1976.0
2019-10-20,1,0,1638.0
2019-10-21,0,0,3509.0
2019-10-22,0,0,3234.0
2019-10-23,0,0,3345.0
2019-10-24,0,0,3339.0
2019-10-25,0,0,3484.0
2019-10-26,1,0,1771.0
2019-10-27,1,0,1662.0
2019-10-28,0,0,3650.0
2019-10-29,0,0,3522.0
2019-10-30,0,0,3680.0
2019-10-31,0,0,3105.0
2019-11-01,0,0,3341.0
2019-11-02,1,0,1811.0
2019-11-03,1,0,1695.0
2019-11-04,0,0,3197.0
2019-11-05,0,0,3549.0
2019-11-06,0,0,3653.0
2019-11-07,0,0,3492.0
2019-11-08,0,0,3064.0
2019-11-09,1,0,1917.0
2019-11-10,1,0,1603.0
2019-11-11,0,1,4379.0
2019-11-12,0,1,4245.0
2019-11-13,0,0,3327.0
2019-11-14,0,0,3551.0
2019-11-15,0,0,3339.0
2019-11-16,1,0,1845.0
2019-11-17,1,0,1826.0
2019-11-18,0,0,3399.0
2019-11-19,0,0,3519.0
2019-11-20,0,0,3337.0
2019-11-21,0,0,3325.0
2019-11-22,0,0,3560.0
2019-11-23,1,0,1942.0
2019-11-24,1,0,1682.0
2019-11-25,0,0,3554.0
2019-11-26,0,0,3304.0
2019-11-27,0,0,3217.0
2019-11-28,0,0,3605.0
2019-11-29,0,0,3584.0
2019-11-30,1,0,1884.0
2019-12-01,1,0,1861.0
2019-12-02,0,0,3473.0
2019-12-03,0,0,3211.0
2019-12-04,0,0,3495.0
2019-12-05,0,0,3556.0
2019-12-06,0,0,3210.0
2019-12-07,1,0,1675.0
2019-12-08,1,0,1649.0
2019-12-09,0,0,3452.0
2019-12-10,0,1,4455.0
2019-12-11,0,1,4358.0
2019-12-12,0,0,3703.0
2019-12-13,0,0,3336.0
2019-12-14,1,0,1908.0
2019-12-15,1,0,1700.0
2019-12-16,0,0,3574.0
2019-12-17,0,0,3349.0
2019-12-18,0,0,3899.0
2019-12-19,0,0,3315.0
2019-12-20,0,0,3326.0
2019-12-21,1,0,1957.0
2019-12-22,1,0,1678.0
2019-12-23,0,0,3589.0
2019-12-24,0,0,3516.0
2019-12-25,1,0,1830.0
2019-12-26,0,0,3690.0
2019-12-27,0,0,3303.0
2019-12-28,1,0,1777.0
2019-12-29,1,0,1851.0
2019-12-30,0,0,3411.0
2019-12-31,0,0,3226.0
2020-01-01,1,0,1876.0
2020-01-02,0,0,3787.0
2020-01-03,0,0,3456.0
2020-01-04,1,0,1866.0
2020-01-05,1,0,1885.0
2020-01-06,0,0,3707.0
2020-01-07,0,0,3739.0
2020-01-08,0,0,3542.0
2020-01-09,0,0,3405.0
2020-01-10,0,1,3972.0
2020-01-11,1,0,1920.0
2020-01-12,1,0,1667.0
2020-01-13,0,1,4454.0
2020-01-14,0,0,3582.0
2020-01-15,0,0,3866.0
2020-01-16,0,0,3372.0
2020-01-17,0,0,3451.0
2020-01-18,1,0,1817.0
2020-01-19,1,0,1907.0
2020-01-20,0,0,3656.0
2020-01-21,0,0,3749.0
2020-01-22,0,0,3327.0
2020-01-23,0,0,3618.0
2020-01-24,1,0,1928.0
2020-01-25,1,0,1780.0
2020-01-26,1,0,2180.0
2020-01-27,1,0,1779.0
2020-01-28,0,0,4282.0
2020-01-29,0,0,3849.0
2020-01-30,0,0,3486.0
2020-01-31,0,0,3547.0
2020-02-01,1,0,2067.0
2020-02-02,1,0,1939.0
2020-02-03,0,0,4012.0
2020-02-04,0,0,3438.0
2020-02-05,0,0,3860.0
2020-02-06,0,0,3503.0
2020-02-07,0,0,3658.0
2020-02-08,1,0,1743.0
2020-02-09,1,0,1704.0
2020-02-10,0,1,4744.0
2020-02-11,0,1,4252.0
2020-02-12,0,0,3764.0
2020-02-13,0,0,9333.0
2020-02-14,0,0,3788.0
2020-02-15,1,0,1925.0
2020-02-16,1,0,1795.0
2020-02-17,0,0,3675.0
2020-02-18,0,0,
2020-02-19,0,0,3824.0
2020-02-20,0,0,3831.0
2020-02-21,0,0,3710.0
2020-02-22,1,0,2020.0
2020-02-23,1,0,1821.0
2020-02-24,0,0,3596.0
2020-02-25,0,0,3815.0
2020-02-26,0,0,3647.0
2020-02-27,0,0,3615.0
2020-02-28,0,0,3295.0
2020-02-29,1,0,1783.0
2020-03-01,1,0,
2020-03-02,0,0,3780.0
2020-03-03,0,0,3433.0
2020-03-04,0,0,3772.0
2020-03-05,0,0,3696.0
2020-03-06,0,0,3521.0
2020-03-07,1,0,1882.0
2020-03-08,1,0,1933.0
2020-03-09,0,0,3553.0
2020-03-10,0,1,4516.0
2020-03-11,0,1,4007.0
2020-03-12,0,0,3728.0
2020-03-13,0,0,3822.0
2020-03-14,1,0,1978.0
2020-03-15,1,0,1738.0
2020-03-16,0,0,3551.0
2020-03-17,0,0,3632.0
2020-03-18,0,0,3722.0
2020-03-19,0,0,3721.0
2020-03-20,0,0,3652.0
2020-03-21,1,0,1883.0
2020-03-22,1,0,1745.0
2020-03-23,0,0,3868.0
2020-03-24,0,0,3460.0
2020-03-25,0,0,3756.0
2020-03-26,0,0,3390.0
2020-03-27,0,0,3715.0
2020-03-28,1,0,1867.0
2020-03-29,1,0,1837.0
2020-03-30,0,0,3782.0
2020-03-31,0,0,3850.0
2020-04-01,0,0,4322.0
2020-04-02,0,0,3420.0
2020-04-03,0,0,3713.0
2020-04-04,1,0,1948.0
2020-04-05,1,0,1974.0
2020-04-06,0,0,3453.0
2020-04-07,0,0,3400.0
2020-04-08,0,0,3672.0
2020-04-09,0,0,3364.0
2020-04-10,0,1,4236.0
2020-04-11,1,0,2075.0
2020-04-12,1,0,1906.0
2020-04-13,0,1,4630.0
2020-04-14,0,0,3694.0
2020-04-15,1,0,2113.0
2020-04-16,0,0,3488.0
2020-04-17,0,0,3748.0
2020-04-18,1,0,1981.0
2020-04-19,1,0,1803.0
2020-04-20,0,0,3829.0
2020-04-21,0,0,3562.0
2020-04-22,0,0,3847.0
2020-04-23,0,0,3443.0
2020-04-24,0,0,3418.0
2020-04-25,1,0,1841.0
2020-04-26,1,0,1932.0
2020-04-27,0,0,3930.0
2020-04-28,0,0,3379.0
2020-04-29,0,0,3731.0
2020-04-30,1,0,1889.0
2020-05-01,1,0,2149.0
2020-05-02,1,0,1856.0
2020-05-03,1,0,1792.0
2020-05-04,0,0,4057.0
2020-05-05,1,0,2090.0
2020-05-06,0,0,4020.0
2020-05-07,0,0,3735.0
2020-05-08,0,0,3651.0
2020-05-09,1,0,1691.0
2020-05-10,1,0,1860.0
2020-05-11,0,1,4723.0
2020-05-12,0,1,4552.0
2020-05-13,0,0,3632.0
2020-05-14,0,0,3865.0
2020-05-15,0,0,3751.0
2020-05-16,1,0,1682.0
2020-05-17,1,0,1819.0
2020-05-18,0,0,4128.0
2020-05-19,0,0,3446.0
2020-05-20,0,0,3849.0
2020-05-21,0,0,3721.0
2020-05-22,0,0,3624.0
2020-05-23,1,0,1798.0
2020-05-24,1,0,1680.0
2020-05-25,0,0,4236.0
2020-05-26,0,0,3656.0
